                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.8184,                 7.9865,                 4.0471,                      0,                      0,                      0,                      0,                 5.9944,                 4.6796,                 3.6885,               0.070577,              0.0032692,              0.0032692
                      1,                 5.3333,                 5.0198,                 3.5089,                      0,                      0,                      0,                      0,                 5.9093,                 4.5728,                 3.4272,               0.040512,              0.0065372,              0.0065372
                      2,                 4.0316,                 3.5153,                 2.4544,                  0.045,                0.12644,                0.03359,                0.00772,                 3.1651,                 2.8637,                 1.8217,                0.01038,              0.0097392,              0.0097392
                      3,                 3.0979,                 2.4874,                 1.6391,                0.08555,                0.16463,                0.06381,                0.01828,                 2.8287,                 20.071,                 1.4959,               0.009703,               0.009703,               0.009703
                      4,                 2.6651,                 2.1965,                 1.3729,                0.22406,                0.26871,                0.16655,                0.05531,                 2.4587,                  3.567,                 1.3548,               0.009703,               0.009703,               0.009703
                      5,                 2.4783,                 2.0526,                  1.284,                0.48414,                0.31147,                0.23782,                0.08961,                 2.2675,                 1.9096,                 1.2325,               0.009604,               0.009604,               0.009604
                      6,                 2.3458,                 1.9499,                 1.2318,                0.73999,                0.26829,                0.23743,                0.09063,                 2.1885,                  1.666,                 1.1784,               0.009505,               0.009505,               0.009505
                      7,                 2.2401,                 1.8915,                 1.1887,                0.75109,                0.29653,                0.25873,                0.11996,                 1.8886,                 1.7542,                 1.0876,               0.009406,               0.009406,               0.009406
                      8,                 2.1792,                 1.7803,                 1.1879,                0.74622,                0.30103,                0.25374,                0.10928,                 1.9083,                 2.5796,                 1.0782,               0.009307,               0.009307,               0.009307
                      9,                 2.1748,                 1.7993,                 1.1546,                0.76841,                 0.2983,                0.27176,                0.11437,                  1.879,                 1.5718,                  1.073,               0.009208,               0.009208,               0.009208
                     10,                  2.096,                 1.6987,                 1.1502,                 0.7601,                0.32429,                0.29255,                0.14851,                 1.7034,                 1.5663,                 1.0374,               0.009109,               0.009109,               0.009109
                     11,                 2.0387,                 1.6067,                 1.0996,                0.26679,                0.33702,                0.30358,                0.13519,                 1.8598,                 1.4294,                 1.0587,                0.00901,                0.00901,                0.00901
                     12,                 2.0229,                 1.5927,                 1.1287,                0.78151,                0.33783,                0.31166,                0.13391,                 1.8768,                 1.4353,                 1.0642,               0.008911,               0.008911,               0.008911
                     13,                 1.9701,                 1.5545,                 1.0965,                0.74621,                0.31072,                0.28383,                0.11443,                 1.9025,                 1.5846,                 1.0657,               0.008812,               0.008812,               0.008812
                     14,                 1.9202,                 1.5875,                 1.0972,                0.31929,                0.41184,                0.31306,                0.12712,                 1.8625,                 1.4429,                 1.0636,               0.008713,               0.008713,               0.008713
                     15,                 1.9474,                 1.5352,                 1.1016,                0.43749,                0.47177,                0.39138,                 0.1819,                 1.6763,                 1.3803,                 1.0287,               0.008614,               0.008614,               0.008614
                     16,                 1.9073,                 1.4791,                 1.0797,                0.79925,                0.34949,                0.40144,                0.18974,                 1.7089,                 1.3588,                 1.0322,               0.008515,               0.008515,               0.008515
