0a + 0b + 0c + 0d = weight 0.00, charge 0, weight/charge 0.0
0a + 0b + 0c + 1d = weight 149.07, charge -1, weight/charge -149.08490849084907
0a + 0b + 0c + 2d = weight 298.14, charge -2, weight/charge -149.07745387269364
0a + 0b + 0c + 3d = weight 447.21, charge -3, weight/charge -149.07496916563886
0a + 0b + 0c + 4d = weight 596.28, charge -4, weight/charge -149.07372684317107
0a + 0b + 0c + 5d = weight 745.35, charge -5, weight/charge -149.07298145962918
0a + 0b + 1c + 0d = weight 65.48, charge 2, weight/charge 32.738363081845904
0a + 0b + 1c + 1d = weight 214.55, charge 1, weight/charge 214.52854714528547
0a + 0b + 1c + 2d = weight 363.62, charge 0, weight/charge 3636200.0
0a + 0b + 1c + 3d = weight 512.69, charge -1, weight/charge -512.7412741274127
0a + 0b + 1c + 4d = weight 661.76, charge -2, weight/charge -330.89654482724137
0a + 0b + 1c + 5d = weight 810.83, charge -3, weight/charge -270.2856761892063
0a + 0b + 2c + 0d = weight 130.96, charge 4, weight/charge 32.73918152046199
0a + 0b + 2c + 1d = weight 280.03, charge 3, weight/charge 93.34022199260023
0a + 0b + 2c + 2d = weight 429.10, charge 2, weight/charge 214.53927303634816
0a + 0b + 2c + 3d = weight 578.17, charge 1, weight/charge 578.1121887811219
0a + 0b + 2c + 4d = weight 727.24, charge 0, weight/charge 7272400.0
0a + 0b + 2c + 5d = weight 876.31, charge -1, weight/charge -876.3976397639764
0a + 0b + 3c + 0d = weight 196.44, charge 6, weight/charge 32.73945434242763
0a + 0b + 3c + 1d = weight 345.51, charge 5, weight/charge 69.10061798764025
0a + 0b + 3c + 2d = weight 494.58, charge 4, weight/charge 123.6419089522762
0a + 0b + 3c + 3d = weight 643.65, charge 3, weight/charge 214.54284857171425
0a + 0b + 3c + 4d = weight 792.72, charge 2, weight/charge 396.34018299085045
0a + 0b + 3c + 5d = weight 941.79, charge 1, weight/charge 941.6958304169583
0a + 0b + 4c + 0d = weight 261.92, charge 8, weight/charge 32.739590755115564
0a + 0b + 4c + 1d = weight 410.99, charge 7, weight/charge 58.71201839973715
0a + 0b + 4c + 2d = weight 560.06, charge 6, weight/charge 93.34177763703937
0a + 0b + 4c + 3d = weight 709.13, charge 5, weight/charge 141.82316353672928
0a + 0b + 4c + 4d = weight 858.20, charge 4, weight/charge 214.5446363840904
0a + 0b + 4c + 5d = weight 1007.27, charge 3, weight/charge 335.74547515082827
0a + 0b + 5c + 0d = weight 327.40, charge 10, weight/charge 32.73967260327397
0a + 0b + 5c + 1d = weight 476.47, charge 9, weight/charge 52.94052288307908
0a + 0b + 5c + 2d = weight 625.54, charge 8, weight/charge 78.19152260596742
0a + 0b + 5c + 3d = weight 774.61, charge 7, weight/charge 110.6569906144198
0a + 0b + 5c + 4d = weight 923.68, charge 6, weight/charge 153.94410093165115
0a + 0b + 5c + 5d = weight 1072.75, charge 5, weight/charge 214.5457090858183
0a + 1b + 0c + 0d = weight 636.73, charge 0, weight/charge 6367300.0
0a + 1b + 0c + 1d = weight 785.80, charge -1, weight/charge -785.8785878587859
0a + 1b + 0c + 2d = weight 934.87, charge -2, weight/charge -467.4583729186459
0a + 1b + 0c + 3d = weight 1083.94, charge -3, weight/charge -361.32537751258377
0a + 1b + 0c + 4d = weight 1233.01, charge -4, weight/charge -308.26020650516267
0a + 1b + 0c + 5d = weight 1382.08, charge -5, weight/charge -276.42152843056857
0a + 1b + 1c + 0d = weight 702.21, charge 2, weight/charge 351.0874456277186
0a + 1b + 1c + 1d = weight 851.28, charge 1, weight/charge 851.1948805119488
0a + 1b + 1c + 2d = weight 1000.35, charge 0, weight/charge 10003500.0
0a + 1b + 1c + 3d = weight 1149.42, charge -1, weight/charge -1149.5349534953496
0a + 1b + 1c + 4d = weight 1298.49, charge -2, weight/charge -649.2774638731937
0a + 1b + 1c + 5d = weight 1447.56, charge -3, weight/charge -482.53608453615124
0a + 1b + 2c + 0d = weight 767.69, charge 4, weight/charge 191.9177020574486
0a + 1b + 2c + 1d = weight 916.76, charge 3, weight/charge 305.57648078397386
0a + 1b + 2c + 2d = weight 1065.83, charge 2, weight/charge 532.8883555822208
0a + 1b + 2c + 3d = weight 1214.90, charge 1, weight/charge 1214.7785221477852
0a + 1b + 2c + 4d = weight 1363.97, charge 0, weight/charge 13639700.0
0a + 1b + 2c + 5d = weight 1513.04, charge -1, weight/charge -1513.1913191319131
0a + 1b + 3c + 0d = weight 833.17, charge 6, weight/charge 138.85935234412761
0a + 1b + 3c + 1d = weight 982.24, charge 5, weight/charge 196.44407111857765
0a + 1b + 3c + 2d = weight 1131.31, charge 4, weight/charge 282.8204294892628
0a + 1b + 3c + 3d = weight 1280.38, charge 3, weight/charge 426.7791073630879
0a + 1b + 3c + 4d = weight 1429.45, charge 2, weight/charge 714.6892655367232
0a + 1b + 3c + 5d = weight 1578.52, charge 1, weight/charge 1578.3621637836216
0a + 1b + 4c + 0d = weight 898.65, charge 8, weight/charge 112.32984587692656
0a + 1b + 4c + 1d = weight 1047.72, charge 7, weight/charge 149.67214754074942
0a + 1b + 4c + 2d = weight 1196.79, charge 6, weight/charge 199.46167563873937
0a + 1b + 4c + 3d = weight 1345.86, charge 5, weight/charge 269.1666166676667
0a + 1b + 4c + 4d = weight 1494.93, charge 4, weight/charge 373.723156921077
0a + 1b + 4c + 5d = weight 1644.00, charge 3, weight/charge 547.9817339422019
0a + 1b + 5c + 0d = weight 964.13, charge 10, weight/charge 96.41203587964122
0a + 1b + 5c + 1d = weight 1113.20, charge 9, weight/charge 123.6875145831713
0a + 1b + 5c + 2d = weight 1262.27, charge 8, weight/charge 157.7817777277784
0a + 1b + 5c + 3d = weight 1411.34, charge 7, weight/charge 201.6171197554321
0a + 1b + 5c + 4d = weight 1560.41, charge 6, weight/charge 260.0639989333511
0a + 1b + 5c + 5d = weight 1709.48, charge 5, weight/charge 341.88916221675566
0a + 2b + 0c + 0d = weight 1273.46, charge 0, weight/charge 12734600.0
0a + 2b + 0c + 1d = weight 1422.53, charge -1, weight/charge -1422.6722672267226
0a + 2b + 0c + 2d = weight 1571.60, charge -2, weight/charge -785.8392919645981
0a + 2b + 0c + 3d = weight 1720.67, charge -3, weight/charge -573.5757858595288
0a + 2b + 0c + 4d = weight 1869.74, charge -4, weight/charge -467.4466861671542
0a + 2b + 0c + 5d = weight 2018.81, charge -5, weight/charge -403.770075401508
0a + 2b + 1c + 0d = weight 1338.94, charge 2, weight/charge 669.4365281735912
0a + 2b + 1c + 1d = weight 1488.01, charge 1, weight/charge 1487.861213878612
0a + 2b + 1c + 2d = weight 1637.08, charge 0, weight/charge 16370799.999999998
0a + 2b + 1c + 3d = weight 1786.15, charge -1, weight/charge -1786.3286328632864
0a + 2b + 1c + 4d = weight 1935.22, charge -2, weight/charge -967.658382919146
0a + 2b + 1c + 5d = weight 2084.29, charge -3, weight/charge -694.7864928830961
0a + 2b + 2c + 0d = weight 1404.42, charge 4, weight/charge 351.0962225944352
0a + 2b + 2c + 1d = weight 1553.49, charge 3, weight/charge 517.8127395753475
0a + 2b + 2c + 2d = weight 1702.56, charge 2, weight/charge 851.2374381280935
0a + 2b + 2c + 3d = weight 1851.63, charge 1, weight/charge 1851.4448555144486
0a + 2b + 2c + 4d = weight 2000.70, charge 0, weight/charge 20007000.0
0a + 2b + 2c + 5d = weight 2149.77, charge -1, weight/charge -2149.98499849985
0a + 2b + 3c + 0d = weight 1469.90, charge 6, weight/charge 244.97925034582758
0a + 2b + 3c + 1d = weight 1618.97, charge 5, weight/charge 323.787524249515
0a + 2b + 3c + 2d = weight 1768.04, charge 4, weight/charge 441.99895002624936
0a + 2b + 3c + 3d = weight 1917.11, charge 3, weight/charge 639.0153661544615
0a + 2b + 3c + 4d = weight 2066.18, charge 2, weight/charge 1033.0383480825958
0a + 2b + 3c + 5d = weight 2215.25, charge 1, weight/charge 2215.028497150285
