                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6397,                 1.1771,                  1.031,                0.73819,                0.63158,                0.66343,                0.31771,                 1.8649,                 1.1574,                 1.0205,               0.080581,             0.00019615,             0.00019615
                      2,                 1.6556,                 1.1498,                 1.0327,                 0.5902,                0.59514,                0.55688,                0.28845,                  1.682,                 1.1663,                 1.0195,               0.060777,             0.00039219,             0.00039219
                      3,                 1.6391,                 1.1694,                 1.0259,                0.71988,                0.53664,                0.64361,                0.33412,                 1.7641,                 1.1215,                0.99613,               0.040969,             0.00058423,             0.00058423
                      4,                 1.6148,                 1.1707,                 1.0299,                0.65038,                0.59514,                0.58341,                0.30744,                 1.6638,                  1.096,                0.98665,               0.021157,             0.00077227,             0.00077227
                      5,                 1.6208,                 1.1619,                 1.0327,                0.53538,                 0.6304,                0.54867,                0.27162,                  1.721,                 1.3041,                  1.013,              0.0013409,             0.00095631,             0.00095631
                      6,                 1.6312,                   1.17,                 1.0288,                0.60347,                0.59186,                0.62819,                0.29658,                 1.8488,                 1.1613,                 1.0322,                0.00095,                0.00095,                0.00095
                      7,                 1.6329,                 1.1849,                 1.0253,                0.57284,                0.63037,                0.66109,                0.35219,                 1.6606,                 1.1217,                0.98594,                0.00095,                0.00095,                0.00095
                      8,                 1.6085,                  1.157,                 1.0262,                0.65546,                0.62434,                0.66196,                0.34826,                 1.6548,                 1.1143,                0.98863,             0.00094001,             0.00094001,             0.00094001
                      9,                 1.6173,                 1.1597,                 1.0233,                0.70961,                 0.6134,                0.68455,                0.36851,                 1.7072,                 1.1082,                      1,             0.00093001,             0.00093001,             0.00093001
                     10,                 1.6011,                 1.1423,                 1.0153,                0.57216,                0.69006,                 0.6655,                 0.3615,                 1.5473,                 1.1208,                0.95944,             0.00092001,             0.00092001,             0.00092001
                     11,                 1.6201,                   1.15,                 1.0367,                0.59865,                0.68888,                0.66795,                0.36355,                  1.555,                 1.0638,                0.96655,             0.00091001,             0.00091001,             0.00091001
                     12,                 1.6154,                 1.1198,                 1.0005,                0.68249,                 0.6213,                0.66436,                 0.3396,                 1.7953,                 1.1067,                 1.0243,             0.00090001,             0.00090001,             0.00090001
